,project_id,organization_id,project_name,project_short_description,project_description,project_picture_link,project_goal,project_raised,project_city,project_state,project_country,newspaper_id,removed,funds_available
18,19,advitausa@gmail.com,Help cancer patients find bone marrow donors!,"Challenge
Russia and the former Soviet Union lack their own bone marrow donor registries. Cancer patients who need the transplants have to pay out of","Challenge
Russia and the former Soviet Union lack their own bone marrow donor registries. Cancer patients who need the transplants have to pay out of pocket for the donor search abroad, collection of bone marrow, and delivery of transplant. Many cancer patients are unable to afford the donor searches, which delays transplants and worsens outcome.

Solution
Our contribution to the cost of donor searches will allow starting donor searches timely and will help patients have better chances to overcome cancer.",https://newspark-charity-data.s3.amazonaws.com/croppedHelp cancer patients find bone marrow donors!jpg,20000,0.0,Houston,Texas,United States,The Emory Wheel,False,0.0
19,20,jill.roberts@deaeducationalfoundation.org,The DEA Educational Foundation Youth Dance Program; One Step at a Time Campaign,The DEA Educational Foundation is a 501(c)3 non-profit educational organization established in 2001 whose goal is to educate the public on the many co,"The DEA Educational Foundation is a 501(c)3 non-profit educational organization established in 2001 whose goal is to educate the public on the many costs and consequences of illegal drugs in our society. The DEA EF provides educational programs and outreach to the community through youth arts, dance and sports programs led by positive mentors. The Foundation strives to make a difference in a child's life, one step at a time.

 

As a graduate from Indiana University, the Chairman and CEO of the DEA EF has dedicated his life to drug prevention and making a difference in the community.",https://newspark-charity-data.s3.amazonaws.com/croppedThe DEA Educational Foundation Youth Dance Program; One Step at a Time Campaignjpg,13000,0.0,Indianapolis ,Indiana,United States,Indiana Daily Student,False,0.0
20,21,aharrison@bgcindy.org,COVID-19 Relief for our Families,"The circumstances surrounding COVID-19 are damaging, to say the least. The COVID-19 epidemic has forced people out of their homes, it has caused job l","The circumstances surrounding COVID-19 are damaging, to say the least. The COVID-19 epidemic has forced people out of their homes, it has caused job loss, food insecurity for countless families and affected our children. 
Summer is the slowest time for charitable giving. We are counting on you to help us keep our blue doors open for Indy youth. Your gift will ensure that our team continues to provide a safe, educational and fun atmosphere for the kids who need us most, even when school is out. Please help us turn panic into promise by making your most generous summer gift now.",https://newspark-charity-data.s3.amazonaws.com/croppedCOVID-19 Relief for our Familiesjpg,10000,0.0,Indianapolis,Indiana,United States,Indiana Daily Student,False,0.0
21,22,srivyal@sphoorti.org,Sphoorti Model School Project,"Sphoorti Foundation will soon have its  ""Sphoorti Model School"". We are going to start Primary and Secondary Sections in the school. We wish to provid","Sphoorti Foundation will soon have its  ""Sphoorti Model School"". We are going to start Primary and Secondary Sections in the school. We wish to provide the best possible environment, childhood experience to Sphoorti inmates. 

We seek your support for furniture and facilities needed to run the School. Proper school infrastructure is linked to an increase in collaboration, focus, and student engagement. The success of the campaign will boost self esteem and psychology of the student towards an improved academic performance. 

Donate to  www.sphoorti.org/donate.html",https://newspark-charity-data.s3.amazonaws.com/croppedSphoorti Model School Projectjpg,600,0.0,Hyderabad,Texas,United States,The Emory Wheel,False,0.0
22,23,info@weareneutral.com,Community-Improving Carbon Offset and Reduction Projects!,We Are Neutral gives people the opportunity to take responsibility for their environmental impact and achieve carbon neutrality.  Our meaningful carbo,"We Are Neutral gives people the opportunity to take responsibility for their environmental impact and achieve carbon neutrality.  Our meaningful carbon offset and reduction projects include providing energy upgrades for low-income families, indigenous tree planting, invasive species removal, urban agriculture, landfill diversion, landfill methane capture, vehicle fuel efficiency tuneups, and massive amounts of environmental education.",https://newspark-charity-data.s3.amazonaws.com/croppedCommunity-Improving Carbon Offset and Reduction Projects!jpg,12000,0.0,Gainesville,Florida,United States,The Emory Wheel,False,0.0
23,24,info@weareneutral.com,Community-Improving Carbon Offset and Reduction Projects!,We Are Neutral gives people the opportunity to take responsibility for their environmental impact and achieve carbon neutrality.  Our meaningful carbo,"We Are Neutral gives people the opportunity to take responsibility for their environmental impact and achieve carbon neutrality.  Our meaningful carbon offset and reduction projects include providing energy upgrades for low-income families, indigenous tree planting, invasive species removal, urban agriculture, landfill diversion, landfill methane capture, vehicle fuel efficiency tuneups, and massive amounts of environmental education.",https://newspark-charity-data.s3.amazonaws.com/croppedCommunity-Improving Carbon Offset and Reduction Projects!jpg,12000,0.0,Gainesville,Florida,United States,Indiana Daily Student,False,0.0
24,25,erin@fullradiusdance.org,Support Physically-Integrated Dance,Full Radius Dance is a professional modern dance company that features dancers with and without physical disabilities. Support our mission to make dan,Full Radius Dance is a professional modern dance company that features dancers with and without physical disabilities. Support our mission to make dance inclusive to all.,https://newspark-charity-data.s3.amazonaws.com/croppedSupport Physically-Integrated Dancejpg,300,0.0,Atlanta,Georgia,United States,The Emory Wheel,False,0.0
25,26,erin@fullradiusdance.org,Sponsor a Physically-Integrated Dance Class,Full Radius Dance holds classes for people with & without disabilities. Your donation helps cover the cost of attending a class for someone in need.,Full Radius Dance holds classes for people with & without disabilities. Your donation helps cover the cost of attending a class for someone in need.,https://newspark-charity-data.s3.amazonaws.com/croppedSponsor a Physically-Integrated Dance Classjpg,300,0.0,Atlanta,Georgia,United States,The Emory Wheel,False,0.0
26,27,services@artisanalley.com,Rotating School Mural Project,Full-time artists from Artisan Alley and students from the Boys and Girls Club will work with educators to create murals that align with the school’s ,"Full-time artists from Artisan Alley and students from the Boys and Girls Club will work with educators to create murals that align with the school’s curriculum, and we will install and rotate the murals throughout the 2020-2021 school year.

Arts education in schools has plummeted, but all three of our organizations understand that environments in which students interact with the arts are vital for healthy childhood development. Artistic exploration activates new parts of the brain, fosters well-rounded intellectual growth, and shows students that it is possible to have a career in the arts. ",https://newspark-charity-data.s3.amazonaws.com/croppedRotating School Mural Projectjpg,2000,0.0,Bloomington,Indiana,United States,Indiana Daily Student,False,0.0
27,28,services@artisanalley.com,Rotating School Mural Project,Full-time artists from Artisan Alley and students from the Boys and Girls Club will work with educators to create murals that align with the school’s ,"Full-time artists from Artisan Alley and students from the Boys and Girls Club will work with educators to create murals that align with the school’s curriculum, and we will install and rotate the murals throughout the 2020-2021 school year.

Arts education in schools has plummeted, but all three of our organizations understand that environments in which students interact with the arts are vital for healthy childhood development. Artistic exploration activates new parts of the brain, fosters well-rounded intellectual growth, and shows students that it is possible to have a career in the arts. ",https://newspark-charity-data.s3.amazonaws.com/croppedRotating School Mural Projectjpg,2000,0.0,Bloomington,Indiana,United States,Indiana Daily Student,False,0.0
28,29,gf@petsofthehomeless.org,Emergency Veterinary Care,"Providing veterinary care to pets that belong to the homeless across the country.  To date we have treated over 21,900 pets.   ","Providing veterinary care to pets that belong to the homeless across the country.  To date we have treated over 21,900 pets.   ",https://newspark-charity-data.s3.amazonaws.com/cropped10jpg,5000,0.0,Bloomington,Indiana,United States,Indiana Daily Student,False,0.0
29,30,gf@petsofthehomeless.org,Emergency Veterinary Care for Homeless,"Faced with little or no income, coupled with the uncertainty of where they will sleep each night, the homeless have no funds when their pet requires e","Faced with little or no income, coupled with the uncertainty of where they will sleep each night, the homeless have no funds when their pet requires emergency treatment for an acute illness or injury.  The pet guardians served by Feeding Pets of the Homeless are just like any other pet guardian; they love their pet and do not want it to suffer.  They do not want their circumstances of homelessness to be a barrier to their pet’s wellness. ",https://newspark-charity-data.s3.amazonaws.com/cropped7jpg,5000,0.0,Atlanta,Georgia,United States,The Emory Wheel,False,0.0
